"CODIGO_REFERENCIA ";"CODIGO_TALLA ";"NOMBRE_REFERNCIA ";"REFERNCIA ";"TALLA ";"CANTIDAD "
224;"7 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"12 ";"22"
224;"8 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"14 ";"22"
224;"9 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"16 ";"22"
224;"10 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"18 ";"22"
224;"11 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"AMARILLO ";"22"
224;"12 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"AZUL REY ";"22"
224;"13 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"ROJO ";"22"
224;"14 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"NARANJA ";"22"
224;"15 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"VERDE ";"22"
224;"16 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"BL X VER ";"22"
224;"17 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"BL X AZU ";"22"
224;"18 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"BL X NEG ";"22"
224;"19 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"BL X ROJ ";"22"
224;"20 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"AZUL OSCURO ";"22"
224;"21 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"NEGRA ";"22"
224;"129 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"VERDE CLARO ";"22"
224;"130 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"BLANCO ";"22"
224;"131 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"BL X AMA ";"22"
224;"132 ";"CAMISETA DEPORTIVA MUJER ";"CDM0001 ";"BL X VER CLA ";"22"
225;"1 ";"PANTALONETA MUJER ";"PTM0001 ";"N/A ";"22"
225;"2 ";"PANTALONETA MUJER ";"PTM0001 ";"S ";"22"
225;"3 ";"PANTALONETA MUJER ";"PTM0001 ";"M ";"22"
225;"4 ";"PANTALONETA MUJER ";"PTM0001 ";"L ";"22"
225;"5 ";"PANTALONETA MUJER ";"PTM0001 ";"XL ";"22"
225;"6 ";"PANTALONETA MUJER ";"PTM0001 ";"10 ";"22"
225;"7 ";"PANTALONETA MUJER ";"PTM0001 ";"12 ";"22"
225;"8 ";"PANTALONETA MUJER ";"PTM0001 ";"14 ";"22"
225;"9 ";"PANTALONETA MUJER ";"PTM0001 ";"16 ";"22"
225;"10 ";"PANTALONETA MUJER ";"PTM0001 ";"18 ";"22"
225;"11 ";"PANTALONETA MUJER ";"PTM0001 ";"AMARILLO ";"22"
225;"12 ";"PANTALONETA MUJER ";"PTM0001 ";"AZUL REY ";"22"
225;"13 ";"PANTALONETA MUJER ";"PTM0001 ";"ROJO ";"22"
225;"14 ";"PANTALONETA MUJER ";"PTM0001 ";"NARANJA ";"22"
225;"15 ";"PANTALONETA MUJER ";"PTM0001 ";"VERDE ";"22"
225;"16 ";"PANTALONETA MUJER ";"PTM0001 ";"BL X VER ";"22"
225;"17 ";"PANTALONETA MUJER ";"PTM0001 ";"BL X AZU ";"22"
225;"18 ";"PANTALONETA MUJER ";"PTM0001 ";"BL X NEG ";"22"
225;"19 ";"PANTALONETA MUJER ";"PTM0001 ";"BL X ROJ ";"22"
225;"20 ";"PANTALONETA MUJER ";"PTM0001 ";"AZUL OSCURO ";"22"
225;"21 ";"PANTALONETA MUJER ";"PTM0001 ";"NEGRA ";"22"
225;"129 ";"PANTALONETA MUJER ";"PTM0001 ";"VERDE CLARO ";"22"
225;"130 ";"PANTALONETA MUJER ";"PTM0001 ";"BLANCO ";"22"
225;"131 ";"PANTALONETA MUJER ";"PTM0001 ";"BL X AMA ";"22"
225;"132 ";"PANTALONETA MUJER ";"PTM0001 ";"BL X VER CLA ";"22"
226;"1 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"N/A ";"22"
226;"2 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"S ";"22"
226;"3 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"M ";"22"
226;"4 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"L ";"22"
226;"5 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"XL ";"22"
226;"6 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"10 ";"22"
226;"7 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"12 ";"22"
226;"8 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"14 ";"22"
226;"9 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"16 ";"22"
226;"10 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"18 ";"22"
226;"11 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"AMARILLO ";"22"
226;"12 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"AZUL REY ";"22"
226;"13 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"ROJO ";"22"
226;"14 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"NARANJA ";"22"
226;"15 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"VERDE ";"22"
226;"16 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"BL X VER ";"22"
226;"17 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"BL X AZU ";"22"
226;"18 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"BL X NEG ";"22"
226;"19 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"BL X ROJ ";"22"
226;"20 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"AZUL OSCURO ";"22"
226;"21 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"NEGRA ";"22"
226;"129 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"VERDE CLARO ";"22"
226;"130 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"BLANCO ";"22"
226;"131 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"BL X AMA ";"22"
226;"132 ";"CAMISETA DEPORTIVA HOMBRE ";"CDH0001 ";"BL X VER CLA ";"22"
227;"1 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"N/A ";"22"
227;"2 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"S ";"22"
227;"3 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"M ";"22"
227;"4 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"L ";"22"
227;"5 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"XL ";"22"
227;"6 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"10 ";"22"
227;"7 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"12 ";"22"
227;"8 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"14 ";"22"
227;"9 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"16 ";"22"
227;"10 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"18 ";"22"
227;"11 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"AMARILLO ";"22"
227;"12 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"AZUL REY ";"22"
227;"13 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"ROJO ";"22"
227;"14 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"NARANJA ";"22"
227;"15 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"VERDE ";"22"
227;"16 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"BL X VER ";"22"
227;"17 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"BL X AZU ";"22"
227;"18 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"BL X NEG ";"22"
227;"19 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"BL X ROJ ";"22"
227;"20 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"AZUL OSCURO ";"22"
227;"21 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"NEGRA ";"22"
227;"129 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"VERDE CLARO ";"22"
227;"130 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"BLANCO ";"22"
227;"131 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"BL X AMA ";"22"
227;"132 ";"MEDIAS DEPORTE HOMBRE ";"MDH0001 ";"BL X VER CLA ";"22"
228;"1 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"N/A ";"22"
228;"2 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"S ";"22"
228;"3 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"M ";"22"
228;"4 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"L ";"22"
228;"5 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"XL ";"22"
228;"6 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"10 ";"22"
228;"7 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"12 ";"22"
228;"8 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"14 ";"22"
228;"9 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"16 ";"22"
228;"10 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"18 ";"22"
228;"11 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"AMARILLO ";"22"
228;"12 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"AZUL REY ";"22"
228;"13 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"ROJO ";"22"
228;"14 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"NARANJA ";"22"
228;"15 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"VERDE ";"22"
228;"16 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"BL X VER ";"22"
228;"17 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"BL X AZU ";"22"
228;"18 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"BL X NEG ";"22"
228;"19 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"BL X ROJ ";"22"
228;"20 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"AZUL OSCURO ";"22"
228;"21 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"NEGRA ";"22"
228;"129 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"VERDE CLARO ";"22"
228;"130 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"BLANCO ";"22"
228;"131 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"BL X AMA ";"22"
228;"132 ";"MEDIAS DEPORTE MUJER ";"MDM0001 ";"BL X VER CLA ";"22"
229;"1 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"N/A ";"22"
229;"2 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"S ";"22"
229;"3 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"M ";"22"
229;"4 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"L ";"22"
229;"5 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"XL ";"22"
229;"6 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"10 ";"22"
229;"7 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"12 ";"22"
229;"8 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"14 ";"22"
229;"9 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"16 ";"22"
229;"10 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"18 ";"22"
229;"11 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"AMARILLO ";"22"
229;"12 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"AZUL REY ";"22"
229;"13 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"ROJO ";"22"
229;"14 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"NARANJA ";"22"
229;"15 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"VERDE ";"22"
229;"16 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"BL X VER ";"22"
229;"17 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"BL X AZU ";"22"
229;"18 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"BL X NEG ";"22"
229;"19 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"BL X ROJ ";"22"
229;"20 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"AZUL OSCURO ";"22"
229;"21 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"NEGRA ";"22"
229;"129 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"VERDE CLARO ";"22"
229;"130 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"BLANCO ";"22"
229;"131 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"BL X AMA ";"22"
229;"132 ";"CHAQUETA MUJER DEPORTIVA COLECCION ";"CMD0001 ";"BL X VER CLA ";"22"
230;"1 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"N/A ";"22"
230;"2 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"S ";"22"
230;"3 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"M ";"22"
230;"4 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"L ";"22"
230;"5 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"XL ";"22"
230;"6 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"10 ";"22"
230;"7 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"12 ";"22"
230;"8 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"14 ";"22"
230;"9 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"16 ";"22"
230;"10 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"18 ";"22"
230;"11 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"AMARILLO ";"22"
230;"12 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"AZUL REY ";"22"
230;"13 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"ROJO ";"22"
230;"14 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"NARANJA ";"22"
230;"15 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"VERDE ";"22"
230;"16 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"BL X VER ";"22"
230;"17 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"BL X AZU ";"22"
230;"18 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"BL X NEG ";"22"
230;"19 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"BL X ROJ ";"22"
230;"20 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"AZUL OSCURO ";"22"
230;"21 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"NEGRA ";"22"
230;"129 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"VERDE CLARO ";"22"
230;"130 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"BLANCO ";"22"
230;"131 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"BL X AMA ";"22"
230;"132 ";"BUSO MUJER DEPORTIVO COLECCION ";"BMD0001 ";"BL X VER CLA ";"22"
231;"1 ";"PANTALON SUDADERA ";"PSH0001 ";"N/A ";"22"
231;"2 ";"PANTALON SUDADERA ";"PSH0001 ";"S ";"22"
231;"3 ";"PANTALON SUDADERA ";"PSH0001 ";"M ";"22"
231;"4 ";"PANTALON SUDADERA ";"PSH0001 ";"L ";"22"
231;"5 ";"PANTALON SUDADERA ";"PSH0001 ";"XL ";"22"
231;"6 ";"PANTALON SUDADERA ";"PSH0001 ";"10 ";"22"
231;"7 ";"PANTALON SUDADERA ";"PSH0001 ";"12 ";"22"
231;"8 ";"PANTALON SUDADERA ";"PSH0001 ";"14 ";"22"
231;"9 ";"PANTALON SUDADERA ";"PSH0001 ";"16 ";"22"
231;"10 ";"PANTALON SUDADERA ";"PSH0001 ";"18 ";"22"
231;"11 ";"PANTALON SUDADERA ";"PSH0001 ";"AMARILLO ";"22"
231;"12 ";"PANTALON SUDADERA ";"PSH0001 ";"AZUL REY ";"22"
231;"13 ";"PANTALON SUDADERA ";"PSH0001 ";"ROJO ";"22"
231;"14 ";"PANTALON SUDADERA ";"PSH0001 ";"NARANJA ";"22"
231;"15 ";"PANTALON SUDADERA ";"PSH0001 ";"VERDE ";"22"
231;"16 ";"PANTALON SUDADERA ";"PSH0001 ";"BL X VER ";"22"
231;"17 ";"PANTALON SUDADERA ";"PSH0001 ";"BL X AZU ";"22"
231;"18 ";"PANTALON SUDADERA ";"PSH0001 ";"BL X NEG ";"22"
231;"19 ";"PANTALON SUDADERA ";"PSH0001 ";"BL X ROJ ";"22"
231;"20 ";"PANTALON SUDADERA ";"PSH0001 ";"AZUL OSCURO ";"22"
231;"21 ";"PANTALON SUDADERA ";"PSH0001 ";"NEGRA ";"22"
231;"129 ";"PANTALON SUDADERA ";"PSH0001 ";"VERDE CLARO ";"22"
231;"130 ";"PANTALON SUDADERA ";"PSH0001 ";"BLANCO ";"22"
231;"131 ";"PANTALON SUDADERA ";"PSH0001 ";"BL X AMA ";"22"
231;"132 ";"PANTALON SUDADERA ";"PSH0001 ";"BL X VER CLA ";"22"
232;"1 ";"PANTALON DRIL ";"PDH0001 ";"N/A ";"22"
232;"2 ";"PANTALON DRIL ";"PDH0001 ";"S ";"22"
232;"3 ";"PANTALON DRIL ";"PDH0001 ";"M ";"22"
232;"4 ";"PANTALON DRIL ";"PDH0001 ";"L ";"22"
232;"5 ";"PANTALON DRIL ";"PDH0001 ";"XL ";"22"
232;"6 ";"PANTALON DRIL ";"PDH0001 ";"10 ";"22"
232;"7 ";"PANTALON DRIL ";"PDH0001 ";"12 ";"22"
232;"8 ";"PANTALON DRIL ";"PDH0001 ";"14 ";"22"
232;"9 ";"PANTALON DRIL ";"PDH0001 ";"16 ";"22"
232;"10 ";"PANTALON DRIL ";"PDH0001 ";"18 ";"22"
232;"11 ";"PANTALON DRIL ";"PDH0001 ";"AMARILLO ";"22"
232;"12 ";"PANTALON DRIL ";"PDH0001 ";"AZUL REY ";"22"
