CODIGO REFERENCIA;CODIGO TALLA;NOMBRE REFERNCIA;REFERNCIA;TALLA;CANTIDAD
224;20;CAMISETA DEPORTIVA MUJER;CDM0001;AZUL OSCURO;110
224;21;CAMISETA DEPORTIVA MUJER;CDM0001;NEGRA;111
224;129;CAMISETA DEPORTIVA MUJER;CDM0001;VERDE CLARO;112
224;130;CAMISETA DEPORTIVA MUJER;CDM0001;BLANCO;113
224;131;CAMISETA DEPORTIVA MUJER;CDM0001;BL X AMA;114
224;132;CAMISETA DEPORTIVA MUJER;CDM0001;BL X VER CLA;115
225;1;PANTALONETA MUJER;PTM0001;N/A;116
225;2;PANTALONETA MUJER;PTM0001;S;117
225;3;PANTALONETA MUJER;PTM0001;M;118
225;4;PANTALONETA MUJER;PTM0001;L;119
225;5;PANTALONETA MUJER;PTM0001;XL;120
225;6;PANTALONETA MUJER;PTM0001;10;121
225;7;PANTALONETA MUJER;PTM0001;12;122
225;8;PANTALONETA MUJER;PTM0001;14;123
225;9;PANTALONETA MUJER;PTM0001;16;124
225;10;PANTALONETA MUJER;PTM0001;18;125
225;11;PANTALONETA MUJER;PTM0001;AMARILLO;126
225;12;PANTALONETA MUJER;PTM0001;AZUL REY;127
225;13;PANTALONETA MUJER;PTM0001;ROJO;128
225;14;PANTALONETA MUJER;PTM0001;NARANJA;129
225;15;PANTALONETA MUJER;PTM0001;VERDE;130
225;16;PANTALONETA MUJER;PTM0001;BL X VER;131
225;17;PANTALONETA MUJER;PTM0001;BL X AZU;132
225;18;PANTALONETA MUJER;PTM0001;BL X NEG;133
225;19;PANTALONETA MUJER;PTM0001;BL X ROJ;134
225;20;PANTALONETA MUJER;PTM0001;AZUL OSCURO;135
225;21;PANTALONETA MUJER;PTM0001;NEGRA;136
225;129;PANTALONETA MUJER;PTM0001;VERDE CLARO;137
225;130;PANTALONETA MUJER;PTM0001;BLANCO;138
225;131;PANTALONETA MUJER;PTM0001;BL X AMA;139
225;132;PANTALONETA MUJER;PTM0001;BL X VER CLA;140
226;1;CAMISETA DEPORTIVA HOMBRE;CDH0001;N/A;141
226;2;CAMISETA DEPORTIVA HOMBRE;CDH0001;S;142
226;3;CAMISETA DEPORTIVA HOMBRE;CDH0001;M;143
226;4;CAMISETA DEPORTIVA HOMBRE;CDH0001;L;144
226;5;CAMISETA DEPORTIVA HOMBRE;CDH0001;XL;145
226;6;CAMISETA DEPORTIVA HOMBRE;CDH0001;10;146
226;7;CAMISETA DEPORTIVA HOMBRE;CDH0001;12;147
226;8;CAMISETA DEPORTIVA HOMBRE;CDH0001;14;148
226;9;CAMISETA DEPORTIVA HOMBRE;CDH0001;16;149
226;10;CAMISETA DEPORTIVA HOMBRE;CDH0001;18;150
226;11;CAMISETA DEPORTIVA HOMBRE;CDH0001;AMARILLO;151
226;12;CAMISETA DEPORTIVA HOMBRE;CDH0001;AZUL REY;152
226;13;CAMISETA DEPORTIVA HOMBRE;CDH0001;ROJO;153
226;14;CAMISETA DEPORTIVA HOMBRE;CDH0001;NARANJA;154
226;15;CAMISETA DEPORTIVA HOMBRE;CDH0001;VERDE;155
226;16;CAMISETA DEPORTIVA HOMBRE;CDH0001;BL X VER;156
226;17;CAMISETA DEPORTIVA HOMBRE;CDH0001;BL X AZU;157
226;18;CAMISETA DEPORTIVA HOMBRE;CDH0001;BL X NEG;158
226;19;CAMISETA DEPORTIVA HOMBRE;CDH0001;BL X ROJ;159
226;20;CAMISETA DEPORTIVA HOMBRE;CDH0001;AZUL OSCURO;160
226;21;CAMISETA DEPORTIVA HOMBRE;CDH0001;NEGRA;161
226;129;CAMISETA DEPORTIVA HOMBRE;CDH0001;VERDE CLARO;162
226;130;CAMISETA DEPORTIVA HOMBRE;CDH0001;BLANCO;163
226;131;CAMISETA DEPORTIVA HOMBRE;CDH0001;BL X AMA;164
226;132;CAMISETA DEPORTIVA HOMBRE;CDH0001;BL X VER CLA;165
227;1;MEDIAS DEPORTE HOMBRE;MDH0001;N/A;166
227;2;MEDIAS DEPORTE HOMBRE;MDH0001;S;167
227;3;MEDIAS DEPORTE HOMBRE;MDH0001;M;168
227;4;MEDIAS DEPORTE HOMBRE;MDH0001;L;169
227;5;MEDIAS DEPORTE HOMBRE;MDH0001;XL;170
227;6;MEDIAS DEPORTE HOMBRE;MDH0001;10;171
227;7;MEDIAS DEPORTE HOMBRE;MDH0001;12;172
227;8;MEDIAS DEPORTE HOMBRE;MDH0001;14;173
227;9;MEDIAS DEPORTE HOMBRE;MDH0001;16;174
227;10;MEDIAS DEPORTE HOMBRE;MDH0001;18;175
227;11;MEDIAS DEPORTE HOMBRE;MDH0001;AMARILLO;176
227;12;MEDIAS DEPORTE HOMBRE;MDH0001;AZUL REY;177
227;13;MEDIAS DEPORTE HOMBRE;MDH0001;ROJO;178
227;14;MEDIAS DEPORTE HOMBRE;MDH0001;NARANJA;179
227;15;MEDIAS DEPORTE HOMBRE;MDH0001;VERDE;180
227;16;MEDIAS DEPORTE HOMBRE;MDH0001;BL X VER;181
227;17;MEDIAS DEPORTE HOMBRE;MDH0001;BL X AZU;182
227;18;MEDIAS DEPORTE HOMBRE;MDH0001;BL X NEG;183
227;19;MEDIAS DEPORTE HOMBRE;MDH0001;BL X ROJ;184
227;20;MEDIAS DEPORTE HOMBRE;MDH0001;AZUL OSCURO;185
227;21;MEDIAS DEPORTE HOMBRE;MDH0001;NEGRA;186
227;129;MEDIAS DEPORTE HOMBRE;MDH0001;VERDE CLARO;187
227;130;MEDIAS DEPORTE HOMBRE;MDH0001;BLANCO;188
227;131;MEDIAS DEPORTE HOMBRE;MDH0001;BL X AMA;189
227;132;MEDIAS DEPORTE HOMBRE;MDH0001;BL X VER CLA;190
228;1;MEDIAS DEPORTE MUJER;MDM0001;N/A;191
228;2;MEDIAS DEPORTE MUJER;MDM0001;S;192
228;3;MEDIAS DEPORTE MUJER;MDM0001;M;193
228;4;MEDIAS DEPORTE MUJER;MDM0001;L;194
228;5;MEDIAS DEPORTE MUJER;MDM0001;XL;195
228;6;MEDIAS DEPORTE MUJER;MDM0001;10;196
228;7;MEDIAS DEPORTE MUJER;MDM0001;12;197
228;8;MEDIAS DEPORTE MUJER;MDM0001;14;198
228;9;MEDIAS DEPORTE MUJER;MDM0001;16;199
228;10;MEDIAS DEPORTE MUJER;MDM0001;18;200
228;11;MEDIAS DEPORTE MUJER;MDM0001;AMARILLO;201
228;12;MEDIAS DEPORTE MUJER;MDM0001;AZUL REY;202
228;13;MEDIAS DEPORTE MUJER;MDM0001;ROJO;203
228;14;MEDIAS DEPORTE MUJER;MDM0001;NARANJA;204
228;15;MEDIAS DEPORTE MUJER;MDM0001;VERDE;205
228;16;MEDIAS DEPORTE MUJER;MDM0001;BL X VER;206
228;17;MEDIAS DEPORTE MUJER;MDM0001;BL X AZU;207
228;18;MEDIAS DEPORTE MUJER;MDM0001;BL X NEG;208
228;19;MEDIAS DEPORTE MUJER;MDM0001;BL X ROJ;209
228;20;MEDIAS DEPORTE MUJER;MDM0001;AZUL OSCURO;210
228;21;MEDIAS DEPORTE MUJER;MDM0001;NEGRA;211
228;129;MEDIAS DEPORTE MUJER;MDM0001;VERDE CLARO;212
228;130;MEDIAS DEPORTE MUJER;MDM0001;BLANCO;213
228;131;MEDIAS DEPORTE MUJER;MDM0001;BL X AMA;214
228;132;MEDIAS DEPORTE MUJER;MDM0001;BL X VER CLA;215
229;1;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;N/A;216
229;2;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;S;217
229;3;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;M;218
229;4;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;L;219
229;5;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;XL;220
229;6;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;10;221
229;7;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;12;222
229;8;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;14;223
229;9;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;16;224
229;10;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;18;225
229;11;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;AMARILLO;226
229;12;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;AZUL REY;227
229;13;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;ROJO;228
229;14;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;NARANJA;229
229;15;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;VERDE;230
229;16;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;BL X VER;231
229;17;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;BL X AZU;232
229;18;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;BL X NEG;233
229;19;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;BL X ROJ;234
229;20;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;AZUL OSCURO;235
229;21;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;NEGRA;236
229;129;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;VERDE CLARO;237
229;130;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;BLANCO;238
229;131;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;BL X AMA;239
229;132;CHAQUETA MUJER DEPORTIVA COLECCION;CMD0001;BL X VER CLA;240
230;1;BUSO MUJER DEPORTIVO COLECCION;BMD0001;N/A;241
230;2;BUSO MUJER DEPORTIVO COLECCION;BMD0001;S;242
230;3;BUSO MUJER DEPORTIVO COLECCION;BMD0001;M;243
230;4;BUSO MUJER DEPORTIVO COLECCION;BMD0001;L;244
230;5;BUSO MUJER DEPORTIVO COLECCION;BMD0001;XL;245
230;6;BUSO MUJER DEPORTIVO COLECCION;BMD0001;10;246
230;7;BUSO MUJER DEPORTIVO COLECCION;BMD0001;12;247
230;8;BUSO MUJER DEPORTIVO COLECCION;BMD0001;14;248
230;9;BUSO MUJER DEPORTIVO COLECCION;BMD0001;16;249
230;10;BUSO MUJER DEPORTIVO COLECCION;BMD0001;18;250
230;11;BUSO MUJER DEPORTIVO COLECCION;BMD0001;AMARILLO;251
230;12;BUSO MUJER DEPORTIVO COLECCION;BMD0001;AZUL REY;252
230;13;BUSO MUJER DEPORTIVO COLECCION;BMD0001;ROJO;253
230;14;BUSO MUJER DEPORTIVO COLECCION;BMD0001;NARANJA;254
230;15;BUSO MUJER DEPORTIVO COLECCION;BMD0001;VERDE;255
230;16;BUSO MUJER DEPORTIVO COLECCION;BMD0001;BL X VER;256
230;17;BUSO MUJER DEPORTIVO COLECCION;BMD0001;BL X AZU;257
230;18;BUSO MUJER DEPORTIVO COLECCION;BMD0001;BL X NEG;258
230;19;BUSO MUJER DEPORTIVO COLECCION;BMD0001;BL X ROJ;259
230;20;BUSO MUJER DEPORTIVO COLECCION;BMD0001;AZUL OSCURO;260
230;21;BUSO MUJER DEPORTIVO COLECCION;BMD0001;NEGRA;261
230;129;BUSO MUJER DEPORTIVO COLECCION;BMD0001;VERDE CLARO;262
230;130;BUSO MUJER DEPORTIVO COLECCION;BMD0001;BLANCO;263
230;131;BUSO MUJER DEPORTIVO COLECCION;BMD0001;BL X AMA;264
230;132;BUSO MUJER DEPORTIVO COLECCION;BMD0001;BL X VER CLA;265
231;1;PANTALON SUDADERA;PSH0001;N/A;266
231;2;PANTALON SUDADERA;PSH0001;S;267
231;3;PANTALON SUDADERA;PSH0001;M;268
231;4;PANTALON SUDADERA;PSH0001;L;269
231;5;PANTALON SUDADERA;PSH0001;XL;270
231;6;PANTALON SUDADERA;PSH0001;10;271
231;7;PANTALON SUDADERA;PSH0001;12;272
231;8;PANTALON SUDADERA;PSH0001;14;273
231;9;PANTALON SUDADERA;PSH0001;16;274
231;10;PANTALON SUDADERA;PSH0001;18;275
231;11;PANTALON SUDADERA;PSH0001;AMARILLO;276
231;12;PANTALON SUDADERA;PSH0001;AZUL REY;277
231;13;PANTALON SUDADERA;PSH0001;ROJO;278
231;14;PANTALON SUDADERA;PSH0001;NARANJA;279
231;15;PANTALON SUDADERA;PSH0001;VERDE;280
231;16;PANTALON SUDADERA;PSH0001;BL X VER;281
231;17;PANTALON SUDADERA;PSH0001;BL X AZU;282
231;18;PANTALON SUDADERA;PSH0001;BL X NEG;283
231;19;PANTALON SUDADERA;PSH0001;BL X ROJ;284
231;20;PANTALON SUDADERA;PSH0001;AZUL OSCURO;285
231;21;PANTALON SUDADERA;PSH0001;NEGRA;286
231;129;PANTALON SUDADERA;PSH0001;VERDE CLARO;287
231;130;PANTALON SUDADERA;PSH0001;BLANCO;288
231;131;PANTALON SUDADERA;PSH0001;BL X AMA;289
231;132;PANTALON SUDADERA;PSH0001;BL X VER CLA;290
232;1;PANTALON DRIL;PDH0001;N/A;291
232;2;PANTALON DRIL;PDH0001;S;292
232;3;PANTALON DRIL;PDH0001;M;293
232;4;PANTALON DRIL;PDH0001;L;294
232;5;PANTALON DRIL;PDH0001;XL;295
232;6;PANTALON DRIL;PDH0001;10;296
232;7;PANTALON DRIL;PDH0001;12;297
232;8;PANTALON DRIL;PDH0001;14;298
232;9;PANTALON DRIL;PDH0001;16;299
232;10;PANTALON DRIL;PDH0001;18;300
232;11;PANTALON DRIL;PDH0001;AMARILLO;301
232;12;PANTALON DRIL;PDH0001;AZUL REY;302
232;13;PANTALON DRIL;PDH0001;ROJO;303
232;14;PANTALON DRIL;PDH0001;NARANJA;304
232;15;PANTALON DRIL;PDH0001;VERDE;305
232;16;PANTALON DRIL;PDH0001;BL X VER;306
232;17;PANTALON DRIL;PDH0001;BL X AZU;307
232;18;PANTALON DRIL;PDH0001;BL X NEG;308
232;19;PANTALON DRIL;PDH0001;BL X ROJ;309
232;20;PANTALON DRIL;PDH0001;AZUL OSCURO;310
232;21;PANTALON DRIL;PDH0001;NEGRA;311
232;129;PANTALON DRIL;PDH0001;VERDE CLARO;312
232;130;PANTALON DRIL;PDH0001;BLANCO;313
232;131;PANTALON DRIL;PDH0001;BL X AMA;314
232;132;PANTALON DRIL;PDH0001;BL X VER CLA;315
233;1;JEAN HOMBRE;PJH0001;N/A;316
233;2;JEAN HOMBRE;PJH0001;S;317
233;3;JEAN HOMBRE;PJH0001;M;318
233;4;JEAN HOMBRE;PJH0001;L;319
233;5;JEAN HOMBRE;PJH0001;XL;320
233;6;JEAN HOMBRE;PJH0001;10;321
233;7;JEAN HOMBRE;PJH0001;12;322
233;8;JEAN HOMBRE;PJH0001;14;323
233;9;JEAN HOMBRE;PJH0001;16;324
233;10;JEAN HOMBRE;PJH0001;18;325
233;11;JEAN HOMBRE;PJH0001;AMARILLO;326
233;12;JEAN HOMBRE;PJH0001;AZUL REY;327
233;13;JEAN HOMBRE;PJH0001;ROJO;328
233;14;JEAN HOMBRE;PJH0001;NARANJA;329
233;15;JEAN HOMBRE;PJH0001;VERDE;330
233;16;JEAN HOMBRE;PJH0001;BL X VER;331
233;17;JEAN HOMBRE;PJH0001;BL X AZU;332
233;18;JEAN HOMBRE;PJH0001;BL X NEG;333
233;19;JEAN HOMBRE;PJH0001;BL X ROJ;334
233;20;JEAN HOMBRE;PJH0001;AZUL OSCURO;335
233;21;JEAN HOMBRE;PJH0001;NEGRA;336
233;129;JEAN HOMBRE;PJH0001;VERDE CLARO;337
233;130;JEAN HOMBRE;PJH0001;BLANCO;338
233;131;JEAN HOMBRE;PJH0001;BL X AMA;339
233;132;JEAN HOMBRE;PJH0001;BL X VER CLA;340
234;1;PANTALON HOMBRE PROMOCION;PHM0001;N/A;341
234;2;PANTALON HOMBRE PROMOCION;PHM0001;S;342
234;3;PANTALON HOMBRE PROMOCION;PHM0001;M;343
234;4;PANTALON HOMBRE PROMOCION;PHM0001;L;344
234;5;PANTALON HOMBRE PROMOCION;PHM0001;XL;345
234;6;PANTALON HOMBRE PROMOCION;PHM0001;10;346
234;7;PANTALON HOMBRE PROMOCION;PHM0001;12;347
234;8;PANTALON HOMBRE PROMOCION;PHM0001;14;348
234;9;PANTALON HOMBRE PROMOCION;PHM0001;16;349
234;10;PANTALON HOMBRE PROMOCION;PHM0001;18;350
234;11;PANTALON HOMBRE PROMOCION;PHM0001;AMARILLO;351
234;12;PANTALON HOMBRE PROMOCION;PHM0001;AZUL REY;352
234;13;PANTALON HOMBRE PROMOCION;PHM0001;ROJO;353
234;14;PANTALON HOMBRE PROMOCION;PHM0001;NARANJA;354
234;15;PANTALON HOMBRE PROMOCION;PHM0001;VERDE;355
234;16;PANTALON HOMBRE PROMOCION;PHM0001;BL X VER;356
234;17;PANTALON HOMBRE PROMOCION;PHM0001;BL X AZU;357
234;18;PANTALON HOMBRE PROMOCION;PHM0001;BL X NEG;358
234;19;PANTALON HOMBRE PROMOCION;PHM0001;BL X ROJ;359
234;20;PANTALON HOMBRE PROMOCION;PHM0001;AZUL OSCURO;360
234;21;PANTALON HOMBRE PROMOCION;PHM0001;NEGRA;361
234;129;PANTALON HOMBRE PROMOCION;PHM0001;VERDE CLARO;362
234;130;PANTALON HOMBRE PROMOCION;PHM0001;BLANCO;363
234;131;PANTALON HOMBRE PROMOCION;PHM0001;BL X AMA;364
234;132;PANTALON HOMBRE PROMOCION;PHM0001;BL X VER CLA;365
235;1;CHAQUETA PROMOCION;CHP0001;N/A;366
235;2;CHAQUETA PROMOCION;CHP0001;S;367
235;3;CHAQUETA PROMOCION;CHP0001;M;368
235;4;CHAQUETA PROMOCION;CHP0001;L;369
235;5;CHAQUETA PROMOCION;CHP0001;XL;370
235;6;CHAQUETA PROMOCION;CHP0001;10;371
235;7;CHAQUETA PROMOCION;CHP0001;12;372
235;8;CHAQUETA PROMOCION;CHP0001;14;373
235;9;CHAQUETA PROMOCION;CHP0001;16;374
235;10;CHAQUETA PROMOCION;CHP0001;18;375
235;11;CHAQUETA PROMOCION;CHP0001;AMARILLO;376
235;12;CHAQUETA PROMOCION;CHP0001;AZUL REY;377
235;13;CHAQUETA PROMOCION;CHP0001;ROJO;378
235;14;CHAQUETA PROMOCION;CHP0001;NARANJA;379
235;15;CHAQUETA PROMOCION;CHP0001;VERDE;380
235;16;CHAQUETA PROMOCION;CHP0001;BL X VER;381
235;17;CHAQUETA PROMOCION;CHP0001;BL X AZU;382
235;18;CHAQUETA PROMOCION;CHP0001;BL X NEG;383
235;19;CHAQUETA PROMOCION;CHP0001;BL X ROJ;384
235;20;CHAQUETA PROMOCION;CHP0001;AZUL OSCURO;385
235;21;CHAQUETA PROMOCION;CHP0001;NEGRA;386
235;129;CHAQUETA PROMOCION;CHP0001;VERDE CLARO;387
235;130;CHAQUETA PROMOCION;CHP0001;BLANCO;388
235;131;CHAQUETA PROMOCION;CHP0001;BL X AMA;389
235;132;CHAQUETA PROMOCION;CHP0001;BL X VER CLA;390
236;1;CHAQUETA COLECCION;CHC0001;N/A;391
236;2;CHAQUETA COLECCION;CHC0001;S;392
236;3;CHAQUETA COLECCION;CHC0001;M;393
236;4;CHAQUETA COLECCION;CHC0001;L;394
236;5;CHAQUETA COLECCION;CHC0001;XL;395
236;6;CHAQUETA COLECCION;CHC0001;10;396
236;7;CHAQUETA COLECCION;CHC0001;12;397
236;8;CHAQUETA COLECCION;CHC0001;14;398
236;9;CHAQUETA COLECCION;CHC0001;16;399
236;10;CHAQUETA COLECCION;CHC0001;18;400
236;11;CHAQUETA COLECCION;CHC0001;AMARILLO;401
236;12;CHAQUETA COLECCION;CHC0001;AZUL REY;402
236;13;CHAQUETA COLECCION;CHC0001;ROJO;403
236;14;CHAQUETA COLECCION;CHC0001;NARANJA;404
236;15;CHAQUETA COLECCION;CHC0001;VERDE;405
236;16;CHAQUETA COLECCION;CHC0001;BL X VER;406
236;17;CHAQUETA COLECCION;CHC0001;BL X AZU;407
236;18;CHAQUETA COLECCION;CHC0001;BL X NEG;408
236;19;CHAQUETA COLECCION;CHC0001;BL X ROJ;409
236;20;CHAQUETA COLECCION;CHC0001;AZUL OSCURO;410
236;21;CHAQUETA COLECCION;CHC0001;NEGRA;411
236;129;CHAQUETA COLECCION;CHC0001;VERDE CLARO;412
236;130;CHAQUETA COLECCION;CHC0001;BLANCO;413
236;131;CHAQUETA COLECCION;CHC0001;BL X AMA;414
236;132;CHAQUETA COLECCION;CHC0001;BL X VER CLA;415
237;1;CHAQUETA SPORT;CHS0001;N/A;416
237;2;CHAQUETA SPORT;CHS0001;S;417
237;3;CHAQUETA SPORT;CHS0001;M;418
237;4;CHAQUETA SPORT;CHS0001;L;419
237;5;CHAQUETA SPORT;CHS0001;XL;420
237;6;CHAQUETA SPORT;CHS0001;10;421
237;7;CHAQUETA SPORT;CHS0001;12;422
237;8;CHAQUETA SPORT;CHS0001;14;423
237;9;CHAQUETA SPORT;CHS0001;16;424
237;10;CHAQUETA SPORT;CHS0001;18;425
237;11;CHAQUETA SPORT;CHS0001;AMARILLO;426
237;12;CHAQUETA SPORT;CHS0001;AZUL REY;427
237;13;CHAQUETA SPORT;CHS0001;ROJO;428
